experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
pe_simple,1,3.1956691912190798,2.6223516439040946,0.1779424713824479,0.15416788963897857,0.0,1.3543795207713514,0.0010385630848677417
pe_simple,2,2.594826390980085,2.3494772187488535,0.2372321690636924,0.1410331670090989,0.0,1.4610380593766557,0.0020771261697354834
pe_simple,3,2.3797559216283033,2.2060400512444507,0.2654094511300264,0.1441884355738186,0.0,1.420536201050941,0.0031156892546032257
pe_simple,4,2.2666412444565607,2.187047673419385,0.2665101262107426,0.14066627531552686,0.0,1.191939558754576,0.004154252339470967
pe_simple,5,2.166816694412819,1.9855365848345319,0.3098767243909598,0.1493249192838274,0.0,0.9649555924090933,0.004077050456584014
pe_simple,6,2.041836545193582,1.9092139761084714,0.3235250953918403,0.15027883768711475,0.0,0.8487206855986981,0.0037218208385963354
pe_simple,7,1.8251852310239385,1.3895544125462054,0.4820956853536836,0.2333431171118286,0.003,1.1125747314158907,0.0034457365401248208
pe_simple,8,1.4848187930609476,1.0063147291536725,0.6277516877017905,0.351995890813032,0.038,1.5437689233333507,0.0032231913945587297
pe_simple,9,1.1984640108888749,0.6888586547600758,0.744643381273848,0.4598620487232169,0.087,1.9721322630314118,0.00303885398953947
pe_simple,10,0.9800056317221503,0.6479329298695127,0.7701790431464631,0.4934693278544174,0.14,2.3914064308430287,0.0028829100250902665
pe_simple,11,0.7886936744388467,0.3978267498369052,0.8676254769592017,0.5992808922805988,0.27,2.7407252522225076,0.002748746857084641
pe_simple,12,0.6522439694012709,0.41177788486150413,0.8687995303786322,0.5626651012621074,0.271,3.013320121359318,0.002631724753332872
